profile_id,activity_id,layer_id,freq_per_day,freq_per_week,office_days_only,region_override,schedule_notes
PRO.TO.24_39.HYBRID.2025,FOOD.COFFEE.CUP.HOT,professional,,5,TRUE,,
ONLINE.TO.CONSUMER.2025,MEDIA.STREAM.HD.HOUR.TV,online,,7,FALSE,,Weekly total assumes roughly one hour of HD TV streaming per day.
ONLINE.TO.CONSUMER.2025,MUSIC.STREAM.STANDARD.HOUR,online,,14,FALSE,,Two hours of audio streaming per day across devices.
ONLINE.TO.CONSUMER.2025,CONF.HD.PER_PARTICIPANT_HOUR,online,,2,FALSE,,Assumes two one-hour HD video calls per week for personal/social use.
